Strain,Rec,date,transfer,plateID,wellID,wellCol,wellRow,Treatment,Replicate,Environment,OD
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,D2,2,D,RIF only,8,X,1.134
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,D3,3,D,RIF only,8,X,1.129
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,D4,4,D,RIF only,8,R,0.981
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,D5,5,D,RIF only,8,R,0.968
AB3,Rec+,290720,T01,RIF AB3 SHIFT 2,D6,6,D,RIF only,8,R,0.945
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,A1,1,A,Mixed,5,X,0.927
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,A2,2,A,Mixed,5,X,0.979
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,A3,3,A,Mixed,5,X,0.839
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,A4,4,A,Mixed,5,S,0.815
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,A5,5,A,Mixed,5,R,0.831
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,A6,6,A,Mixed,5,B,0.071
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,B1,1,B,Mixed,6,X,0.907
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,B2,2,B,Mixed,6,X,0.879
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,B3,3,B,Mixed,6,X,0.828
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,B4,4,B,Mixed,6,S,0.834
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,B5,5,B,Mixed,6,R,0.833
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,B6,6,B,Mixed,6,B,0.068
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,C1,1,C,Mixed,7,X,0.918
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,C2,2,C,Mixed,7,X,0.919
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,C3,3,C,Mixed,7,X,0.87
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,C4,4,C,Mixed,7,S,0.866
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,C5,5,C,Mixed,7,R,0.866
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,C6,6,C,Mixed,7,B,0.069
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,D1,1,D,Mixed,8,X,1.153
AB3,Rec+,290720,T01,MIX AB3 SHIFT 2,D2,2,D,Mixed,8,X,1.03
